epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,6817.59,1.26505,1.24305,1.35196,0.6516,0.62949,0.64609,0.38523,1.41991,1.29955,1.52309,0.000537733,0.000537733,0.000537733
65,6920.93,1.25479,1.1971,1.33536,0.67917,0.66118,0.68204,0.41853,1.44248,1.25701,1.53751,0.000523586,0.000523586,0.000523586
66,7025.27,1.24606,1.20338,1.32144,0.61276,0.67246,0.65132,0.39234,1.47267,1.27357,1.55343,0.000509438,0.000509438,0.000509438
67,7128.12,1.24544,1.16944,1.33177,0.65771,0.66959,0.67696,0.41985,1.39359,1.22424,1.51935,0.000495291,0.000495291,0.000495291
68,7231.88,1.23625,1.15119,1.32532,0.69279,0.62868,0.66881,0.41577,1.39781,1.25583,1.51602,0.000481144,0.000481144,0.000481144
69,7335.53,1.23117,1.14532,1.3188,0.67244,0.65336,0.67141,0.40738,1.44594,1.27006,1.53063,0.000466997,0.000466997,0.000466997
70,7438.59,1.20285,1.12325,1.29771,0.69702,0.66531,0.68988,0.42932,1.39,1.24508,1.49209,0.00045285,0.00045285,0.00045285
71,7542.48,1.18329,1.10645,1.28523,0.67563,0.65984,0.68195,0.4256,1.41085,1.22016,1.50074,0.000438703,0.000438703,0.000438703
72,7646.43,1.18574,1.10027,1.29529,0.65904,0.65076,0.68164,0.43057,1.3568,1.2091,1.47587,0.000424556,0.000424556,0.000424556
73,7750.8,1.17576,1.08187,1.29259,0.68436,0.67819,0.70426,0.44449,1.35057,1.1731,1.475,0.000410409,0.000410409,0.000410409
74,7855.33,1.1876,1.11029,1.29556,0.62773,0.71066,0.69513,0.43716,1.35999,1.19927,1.46038,0.000396262,0.000396262,0.000396262
75,7960.28,1.15091,1.05624,1.26847,0.66593,0.68901,0.71417,0.44622,1.339,1.14301,1.45937,0.000382115,0.000382115,0.000382115
76,8075.39,1.16792,1.05046,1.26912,0.70317,0.67906,0.70825,0.45243,1.33191,1.14484,1.45714,0.000367967,0.000367967,0.000367967
77,8185.38,1.16323,1.04778,1.28125,0.65248,0.67204,0.68293,0.43104,1.3453,1.1694,1.46387,0.00035382,0.00035382,0.00035382
78,8288.57,1.13828,1.00984,1.25263,0.71377,0.68648,0.71436,0.45839,1.30096,1.13031,1.45375,0.000339673,0.000339673,0.000339673
79,8392.09,1.13573,1.00396,1.2513,0.69516,0.68277,0.71064,0.45035,1.33418,1.13471,1.46162,0.000325526,0.000325526,0.000325526
80,8495.55,1.11796,1.01474,1.24933,0.68608,0.69437,0.7123,0.45921,1.30256,1.14459,1.45377,0.000311379,0.000311379,0.000311379
81,8599.06,1.11997,0.98966,1.24047,0.67503,0.6906,0.70413,0.45007,1.32233,1.13531,1.45566,0.000297232,0.000297232,0.000297232
82,8702.14,1.10973,0.99337,1.2428,0.68064,0.68698,0.70552,0.4549,1.32109,1.14245,1.44442,0.000283085,0.000283085,0.000283085
83,8806.94,1.09415,0.96202,1.22345,0.72074,0.67267,0.72167,0.4684,1.2979,1.08592,1.42836,0.000268938,0.000268938,0.000268938
84,8911.7,1.08887,0.94644,1.22835,0.68651,0.68316,0.71712,0.46121,1.31657,1.10626,1.4504,0.000254791,0.000254791,0.000254791
85,9016.16,1.08237,0.95742,1.23091,0.71717,0.6965,0.72032,0.46742,1.26838,1.09621,1.40994,0.000240644,0.000240644,0.000240644
86,9120.78,1.0612,0.92434,1.21497,0.7555,0.66986,0.73205,0.47537,1.27936,1.06015,1.42988,0.000226497,0.000226497,0.000226497
87,9225.34,1.05385,0.91734,1.20834,0.7381,0.66599,0.72556,0.47185,1.2579,1.06887,1.41378,0.000212349,0.000212349,0.000212349
88,9329.76,1.05677,0.91798,1.21001,0.74431,0.6487,0.72158,0.46716,1.27715,1.07439,1.4384,0.000198202,0.000198202,0.000198202
89,9434.02,1.02258,0.89959,1.19419,0.75949,0.69314,0.74384,0.48365,1.25753,1.02901,1.4227,0.000184055,0.000184055,0.000184055
90,9536.85,1.03377,0.89851,1.19414,0.75461,0.68945,0.74572,0.49244,1.23936,1.04165,1.39613,0.000169908,0.000169908,0.000169908
91,9637.82,0.9763,0.80149,1.19342,0.7457,0.67674,0.73168,0.48166,1.26057,1.0583,1.41256,0.000155761,0.000155761,0.000155761
92,9738.49,0.95614,0.77088,1.17991,0.72027,0.70044,0.73638,0.48628,1.24894,1.02849,1.42503,0.000141614,0.000141614,0.000141614
93,9839.31,0.93156,0.74756,1.16055,0.76233,0.66095,0.73451,0.48498,1.22517,1.03684,1.40077,0.000127467,0.000127467,0.000127467
94,9940.16,0.92298,0.7351,1.15534,0.75743,0.68055,0.7439,0.49475,1.22491,1.03083,1.3986,0.00011332,0.00011332,0.00011332
95,10042.5,0.9162,0.73001,1.15285,0.73209,0.70384,0.74063,0.49126,1.22214,1.00766,1.39602,9.91726e-05,9.91726e-05,9.91726e-05
96,10144.2,0.91304,0.72046,1.15269,0.75687,0.7,0.7465,0.49314,1.21365,1.00604,1.40192,8.50255e-05,8.50255e-05,8.50255e-05
97,10246.6,0.88743,0.6956,1.13602,0.76741,0.69918,0.75149,0.49753,1.20995,1.00296,1.3982,7.08784e-05,7.08784e-05,7.08784e-05
98,10348.6,0.8868,0.69805,1.13645,0.72835,0.71173,0.75056,0.5013,1.21045,1.0139,1.40309,5.67313e-05,5.67313e-05,5.67313e-05
99,10451.7,0.87251,0.68523,1.12902,0.75429,0.70649,0.75273,0.5054,1.205,0.99021,1.39554,4.25842e-05,4.25842e-05,4.25842e-05
100,10553.2,0.88155,0.68744,1.13696,0.77154,0.68058,0.74904,0.50305,1.20466,0.98807,1.39306,2.84371e-05,2.84371e-05,2.84371e-05
