epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,6597.48,1.44309,1.52329,1.44622,0.54709,0.56888,0.57151,0.32375,1.55299,1.52618,1.60122,0.000594321,0.000594321,0.000594321
61,6706.12,1.4383,1.48547,1.44413,0.50552,0.59214,0.56641,0.3295,1.54277,1.51632,1.61166,0.000580174,0.000580174,0.000580174
62,6813.88,1.4135,1.46126,1.41718,0.51702,0.57918,0.55531,0.32335,1.54474,1.5388,1.60802,0.000566027,0.000566027,0.000566027
63,6922.34,1.44176,1.4628,1.4378,0.48909,0.60661,0.54486,0.32258,1.53472,1.52549,1.6079,0.00055188,0.00055188,0.00055188
64,7031.17,1.41866,1.49341,1.43139,0.60165,0.56308,0.57561,0.34923,1.49606,1.44878,1.57645,0.000537733,0.000537733,0.000537733
65,7141.45,1.40296,1.43548,1.41748,0.56452,0.55533,0.57766,0.34374,1.51028,1.47052,1.56419,0.000523586,0.000523586,0.000523586
66,7249.47,1.39027,1.4464,1.40524,0.60789,0.57738,0.57509,0.33893,1.52846,1.45733,1.58575,0.000509438,0.000509438,0.000509438
67,7357.05,1.38914,1.41261,1.40708,0.54659,0.58648,0.56897,0.33204,1.54596,1.49091,1.58414,0.000495291,0.000495291,0.000495291
68,7465.83,1.37684,1.40998,1.40185,0.52518,0.62342,0.58119,0.3478,1.49402,1.45943,1.57422,0.000481144,0.000481144,0.000481144
69,7575.1,1.37179,1.37821,1.39813,0.51018,0.63174,0.58558,0.35147,1.51491,1.42548,1.5699,0.000466997,0.000466997,0.000466997
70,7683.91,1.357,1.38118,1.38477,0.53286,0.63121,0.59101,0.34932,1.49197,1.40829,1.54998,0.00045285,0.00045285,0.00045285
71,7792.74,1.32196,1.34252,1.36043,0.58503,0.61304,0.60964,0.36487,1.50745,1.39322,1.55422,0.000438703,0.000438703,0.000438703
72,7902.9,1.33996,1.34374,1.37881,0.55816,0.59537,0.60472,0.36691,1.44685,1.38353,1.53113,0.000424556,0.000424556,0.000424556
73,8013.97,1.33018,1.32921,1.37338,0.61418,0.59128,0.62397,0.37153,1.46534,1.35737,1.52919,0.000410409,0.000410409,0.000410409
74,8125.95,1.35028,1.35883,1.38439,0.61117,0.61208,0.62765,0.37465,1.49569,1.39949,1.55764,0.000396262,0.000396262,0.000396262
75,8236.25,1.3045,1.30232,1.35287,0.60995,0.59788,0.61187,0.37627,1.45353,1.38149,1.53954,0.000382115,0.000382115,0.000382115
76,8345.36,1.30938,1.29919,1.35018,0.58905,0.61957,0.61619,0.38482,1.45064,1.35043,1.5308,0.000367967,0.000367967,0.000367967
77,8454.11,1.31697,1.30498,1.36927,0.54506,0.64935,0.59895,0.36835,1.45994,1.37027,1.53073,0.00035382,0.00035382,0.00035382
78,8564,1.30538,1.26375,1.34256,0.56072,0.64492,0.60321,0.367,1.46555,1.38851,1.54672,0.000339673,0.000339673,0.000339673
79,8673.43,1.29298,1.25549,1.3321,0.63405,0.62596,0.64425,0.39224,1.44174,1.3381,1.50513,0.000325526,0.000325526,0.000325526
80,8781.76,1.27238,1.25762,1.32789,0.62316,0.62393,0.63373,0.38704,1.43958,1.3588,1.51134,0.000311379,0.000311379,0.000311379
81,8891.05,1.28407,1.2488,1.33554,0.57564,0.63076,0.62588,0.38257,1.42598,1.33492,1.50903,0.000297232,0.000297232,0.000297232
82,9001.38,1.27099,1.24622,1.33803,0.59997,0.62096,0.63034,0.38607,1.42897,1.32348,1.5119,0.000283085,0.000283085,0.000283085
83,9111.16,1.25199,1.20092,1.31652,0.60866,0.648,0.63449,0.3903,1.41566,1.31885,1.49477,0.000268938,0.000268938,0.000268938
84,9220.16,1.2462,1.18483,1.31933,0.63203,0.62179,0.64108,0.39225,1.39163,1.32338,1.48311,0.000254791,0.000254791,0.000254791
85,9329.66,1.23993,1.19455,1.31718,0.64219,0.60996,0.63556,0.39183,1.40418,1.3381,1.494,0.000240644,0.000240644,0.000240644
86,9439.85,1.23622,1.17306,1.30498,0.62869,0.62819,0.64792,0.40053,1.40066,1.30151,1.48962,0.000226497,0.000226497,0.000226497
87,9548.49,1.21679,1.16232,1.2992,0.57736,0.65559,0.63565,0.39194,1.39008,1.30439,1.48265,0.000212349,0.000212349,0.000212349
88,9657.35,1.20836,1.15166,1.29856,0.59918,0.65758,0.66135,0.41011,1.39432,1.27286,1.48807,0.000198202,0.000198202,0.000198202
89,9767.44,1.19498,1.15247,1.29135,0.61499,0.65382,0.66248,0.41873,1.36778,1.26321,1.48031,0.000184055,0.000184055,0.000184055
90,9876.88,1.20487,1.14834,1.28859,0.65715,0.63926,0.66899,0.41873,1.36092,1.24737,1.46937,0.000169908,0.000169908,0.000169908
91,9983.39,1.16426,1.05988,1.30993,0.59455,0.67811,0.65737,0.40653,1.38932,1.27393,1.48453,0.000155761,0.000155761,0.000155761
92,10089.8,1.14659,1.01469,1.30057,0.61334,0.66767,0.65725,0.41438,1.37974,1.26736,1.47663,0.000141614,0.000141614,0.000141614
93,10197.4,1.12603,0.99689,1.28884,0.64838,0.62855,0.65723,0.41449,1.35728,1.24872,1.46678,0.000127467,0.000127467,0.000127467
94,10306.2,1.10983,0.97735,1.27628,0.65678,0.64726,0.67316,0.42275,1.34548,1.23489,1.46354,0.00011332,0.00011332,0.00011332
95,10413.5,1.10135,0.9853,1.26951,0.65172,0.67085,0.67917,0.42912,1.34614,1.21702,1.45737,9.91726e-05,9.91726e-05,9.91726e-05
96,10520.2,1.10118,0.95802,1.27376,0.68381,0.65406,0.68553,0.43248,1.34405,1.21449,1.45611,8.50255e-05,8.50255e-05,8.50255e-05
97,10627.4,1.08028,0.94088,1.26058,0.66651,0.65714,0.67942,0.4348,1.33962,1.21923,1.45639,7.08784e-05,7.08784e-05,7.08784e-05
98,10734.3,1.08687,0.93874,1.26669,0.67849,0.64874,0.68413,0.43802,1.33691,1.21687,1.46002,5.67313e-05,5.67313e-05,5.67313e-05
99,10840.8,1.07017,0.92685,1.25405,0.67937,0.65416,0.68463,0.43389,1.32471,1.22006,1.4535,4.25842e-05,4.25842e-05,4.25842e-05
100,10946,1.07273,0.93871,1.25805,0.67584,0.65744,0.68461,0.43468,1.32275,1.21478,1.448,2.84371e-05,2.84371e-05,2.84371e-05
